
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-07-13 04:45:03 /api/v1/health ....................................................................... ~ 1.71ms
  2026-07-13 04:45:06 /api/v1/public/cms/menus/main ...................................................... ~ 503.80ms
  2026-07-13 04:45:06 /api/v1/public/cms/pages/home ............................................................ ~ 1s
  2026-07-13 04:50:32 /api/v1/health ..................................................................... ~ 508.42ms
  2026-07-13 04:50:33 /api/v1/public/cms/menus/main ...................................................... ~ 513.74ms
  2026-07-13 04:50:33 /api/v1/public/cms/pages/home ...................................................... ~ 518.02ms
  2026-07-13 04:50:34 /api/v1/public/cms/menus/main ...................................................... ~ 507.35ms
  2026-07-13 04:50:34 /api/v1/public/business-units ...................................................... ~ 510.68ms
  2026-07-13 04:50:34 /api/v1/public/cms/pages/business-units .................................................. ~ 1s
  2026-07-13 04:50:37 /api/v1/public/business-units/oils ................................................... ~ 1.23ms
  2026-07-13 04:50:37 /api/v1/public/business-units/dates .................................................. ~ 0.88ms
  2026-07-13 04:50:38 /api/v1/public/business-units/real-estate .......................................... ~ 522.19ms
  2026-07-13 04:50:38 /api/v1/public/business-units/import-export ........................................ ~ 507.56ms
  2026-07-13 04:50:40 /api/v1/public/dates/products ........................................................ ~ 1.19ms
  2026-07-13 04:50:40 /api/v1/public/dates/categories .................................................... ~ 522.91ms
  2026-07-13 04:50:40 /api/v1/public/dates/brands .............................................................. ~ 1s
  2026-07-13 04:50:45 /api/v1/public/dates/collections ................................................... ~ 506.62ms
  2026-07-13 04:50:47 /api/v1/public/dates/gift-products ................................................... ~ 0.92ms
  2026-07-13 04:50:49 /api/v1/public/dates/seasonal-products ............................................... ~ 0.82ms
  2026-07-13 04:50:51 /api/v1/public/dates/corporate-gift-products ....................................... ~ 517.25ms
  2026-07-13 04:50:53 /api/v1/public/real-estate/real-estate/projects ...................................... ~ 1.24ms
  2026-07-13 04:50:53 /api/v1/public/real-estate/real-estate/units ....................................... ~ 534.53ms
  2026-07-13 04:50:56 /api/v1/public/import-export/services ................................................ ~ 1.25ms
  2026-07-13 04:51:00 /api/v1/auth/login ................................................................... ~ 0.88ms
  2026-07-13 04:54:50 /api/v1/health ....................................................................... ~ 0.84ms
  2026-07-13 04:54:51 /api/v1/public/cms/menus/main ...................................................... ~ 501.11ms
  2026-07-13 04:54:51 /api/v1/public/cms/pages/home ............................................................ ~ 1s
  2026-07-13 04:54:52 /api/v1/public/business-units/dates ................................................ ~ 510.93ms
  2026-07-13 04:54:52 /api/v1/public/cms/business-units/dates/page ....................................... ~ 502.66ms
  2026-07-13 04:54:52 /api/v1/public/dates/products ........................................................ ~ 0.75ms
  2026-07-13 04:54:53 /api/v1/public/dates/collections ................................................... ~ 514.37ms
  2026-07-13 04:54:53 /api/v1/public/business-units/oils ................................................. ~ 515.37ms
  2026-07-13 04:54:53 /api/v1/public/cms/business-units/oils/page ........................................ ~ 503.69ms
  2026-07-13 04:54:54 /api/v1/public/oils/products ......................................................... ~ 0.80ms
  2026-07-13 04:54:54 /api/v1/public/oils/collections .................................................... ~ 528.53ms
  2026-07-13 04:54:55 /api/v1/public/real-estate/real-estate/projects .................................... ~ 511.45ms
  2026-07-13 04:54:55 /api/v1/public/real-estate/real-estate/units ............................................. ~ 1s
  2026-07-13 04:54:56 /api/v1/auth/login ....................................................................... ~ 1s
  2026-07-13 04:54:56 /api/v1/auth/me ...................................................................... ~ 0.87ms
  2026-07-13 04:54:57 /api/v1/admin/permissions .......................................................... ~ 508.60ms
  2026-07-13 04:57:04 /api/v1/health ..................................................................... ~ 534.64ms
  2026-07-13 04:57:05 /api/v1/public/cms/menus/main ...................................................... ~ 510.49ms
  2026-07-13 04:57:05 /api/v1/public/cms/pages/home ............................................................ ~ 1s
  2026-07-13 04:57:07 /api/v1/public/business-units/dates ................................................ ~ 546.58ms
  2026-07-13 04:57:07 /api/v1/public/cms/business-units/dates/page ............................................. ~ 1s
  2026-07-13 04:57:08 /api/v1/public/dates/products ........................................................ ~ 0.76ms
  2026-07-13 04:57:09 /api/v1/public/dates/collections ..................................................... ~ 1.37ms
  2026-07-13 04:57:09 /api/v1/public/business-units/oils ................................................. ~ 541.06ms
  2026-07-13 04:57:10 /api/v1/public/cms/business-units/oils/page ........................................ ~ 521.40ms
  2026-07-13 04:57:11 /api/v1/public/oils/products ......................................................... ~ 1.20ms
  2026-07-13 04:57:11 /api/v1/public/oils/collections .................................................... ~ 540.01ms
  2026-07-13 04:57:12 /api/v1/public/real-estate/real-estate/projects ...................................... ~ 1.31ms
  2026-07-13 04:57:12 /api/v1/public/real-estate/real-estate/units ....................................... ~ 548.03ms
  2026-07-13 04:57:13 /api/v1/auth/login ................................................................. ~ 530.37ms
  2026-07-13 04:57:14 /api/v1/auth/me .................................................................... ~ 567.12ms
